hour,day_of_week,weather_main,temp,rain_1h,holiday,traffic_level
9,1,Clouds,288.28,0.0,,High
10,1,Clouds,289.36,0.0,,High
11,1,Clouds,289.58,0.0,,High
12,1,Clouds,290.13,0.0,,High
13,1,Clouds,291.14,0.0,,High
14,1,Clear,291.72,0.0,,High
15,1,Clear,293.17,0.0,,High
16,1,Clear,293.86,0.0,,High
17,1,Clouds,294.14,0.0,,High
18,1,Clouds,293.1,0.0,,High
19,1,Clouds,290.97,0.0,,Medium
20,1,Clear,289.38,0.0,,Medium
21,1,Clear,288.61,0.0,,Medium
22,1,Clear,287.16,0.0,,Low
23,1,Clear,285.45,0.0,,Low
0,2,Clear,284.63,0.0,,Low
1,2,Clear,283.47,0.0,,Low
2,2,Clear,281.18,0.0,,Low
3,2,Clear,281.09,0.0,,Low
4,2,Clear,279.53,0.0,,Low
5,2,Clear,278.62,0.0,,Medium
6,2,Clear,278.23,0.0,,High
8,2,Clear,278.12,0.0,,High
9,2,Clear,282.48,0.0,,High
12,2,Clear,291.97,0.0,,High
13,2,Clear,293.23,0.0,,High
14,2,Clear,294.31,0.0,,High
15,2,Clear,295.17,0.0,,High
16,2,Clear,295.13,0.0,,High
18,2,Clouds,293.66,0.0,,High
19,2,Clouds,290.65,0.0,,Medium
20,2,Clouds,288.19,0.0,,Medium
21,2,Clear,287.1,0.0,,Medium
22,2,Clear,286.25,0.0,,Low
23,2,Clear,285.26,0.0,,Low
0,3,Clear,284.55,0.0,,Low
1,3,Clear,283.47,0.0,,Low
2,3,Clear,283.17,0.0,,Low
3,3,Clear,282.04,0.0,,Low
4,3,Clear,281.69,0.0,,Low
5,3,Clear,281.32,0.0,,Medium
6,3,Clear,280.74,0.0,,High
7,3,Clear,280.57,0.0,,High
8,3,Clear,281.86,0.0,,High
9,3,Clear,284.98,0.0,,High
10,3,Clear,289.18,0.0,,High
11,3,Clear,291.55,0.0,,High
12,3,Clear,294.97,0.0,,High
13,3,Clear,296.38,0.0,,High
14,3,Clear,297.32,0.0,,High
15,3,Clear,298.17,0.0,,High
16,3,Clouds,298.06,0.0,,High
17,3,Clouds,297.67,0.0,,High
18,3,Clouds,296.36,0.0,,High
19,3,Clouds,293.85,0.0,,Medium
20,3,Clouds,292.43,0.0,,Medium
21,3,Clouds,291.77,0.0,,Medium
