day_of_week,weather_main,temp,rain_1h,holiday,destination_type,preferred_arrival_hour,traffic_level,best_departure_hour
Thursday,Clear,295.79,0.0,No,office,9,Medium,7
Thursday,Clear,303.11,0.0,Yes,office,8,Medium,6
Friday,Clear,304.79,0.0,No,market,17,Medium,15
Friday,Clouds,292.64,0.19,No,office,9,Medium,7
Wednesday,Haze,297.91,0.0,No,mall,19,Medium,18
Sunday,Rain,295.51,1.96,No,mall,18,High,15
Monday,Thunderstorm,301.54,2.73,No,office,9,High,6
Thursday,Clouds,301.39,0.14,No,mall,19,Medium,18
Thursday,Clear,300.59,0.0,No,office,8,Medium,6
Friday,Clear,309.44,0.0,No,market,20,Medium,17
Tuesday,Rain,290.35,1.61,No,office,10,High,7
Monday,Clouds,302.7,0.09,No,office,10,Medium,8
Tuesday,Clouds,302.85,0.17,No,station,18,Medium,16
Friday,Clouds,300.13,0.09,No,mall,12,Low,12
Friday,Fog,289.76,0.0,No,office,10,Medium,7
Wednesday,Drizzle,297.43,0.71,No,mall,18,Medium,16
Saturday,Clear,308.25,0.0,No,mall,17,Medium,15
Thursday,Rain,299.94,1.91,No,mall,12,Medium,10
Tuesday,Clear,302.72,0.0,No,residential,8,Low,8
Monday,Clear,310.45,0.0,No,mall,13,Low,13
Sunday,Clear,299.23,0.0,No,market,19,Medium,17
Wednesday,Clear,294.28,0.0,Yes,mall,12,Medium,11
Thursday,Clear,311.11,0.0,No,office,8,Medium,6
Thursday,Clear,295.65,0.0,No,office,9,Medium,6
Tuesday,Clear,294.94,0.0,No,mall,20,Medium,18
Wednesday,Haze,300.75,0.0,No,market,10,Medium,8
Friday,Clear,296.8,0.0,No,market,10,Low,9
Tuesday,Clouds,304.64,0.11,Yes,mall,12,Medium,11
Sunday,Clear,302.71,0.0,No,station,7,Low,6
Sunday,Thunderstorm,291.51,2.57,No,office,10,Medium,7
Friday,Clouds,302.21,0.03,No,market,20,Medium,18
Thursday,Clear,304.68,0.0,No,residential,18,Low,18
Monday,Clear,294.36,0.0,No,mall,13,Low,12
Monday,Clouds,290.68,0.02,No,station,7,Medium,5
Sunday,Clear,298.31,0.0,No,office,12,Low,12
Wednesday,Clear,305.42,0.0,No,station,6,Low,5
Monday,Clear,299.98,0.0,No,office,9,Medium,7
Wednesday,Haze,294.79,0.0,No,office,10,Medium,8
Friday,Drizzle,288.01,0.32,No,residential,8,Medium,6
Tuesday,Clear,305.68,0.0,No,residential,18,Low,17
Tuesday,Clear,301.47,0.0,No,station,6,Low,5
Wednesday,Clear,301.84,0.0,No,office,9,Medium,7
Monday,Rain,294.28,1.92,No,station,19,High,16
Wednesday,Rain,298.53,1.96,No,office,9,High,6
Friday,Fog,291.38,0.0,No,residential,18,Medium,16
Sunday,Drizzle,298.16,1.08,Yes,office,10,Medium,8
Friday,Clear,308.75,0.0,No,mall,17,Medium,16
Saturday,Clouds,303.95,0.17,No,office,11,Low,11
Wednesday,Drizzle,290.19,0.84,No,office,8,Medium,5
Sunday,Clear,312.25,0.0,No,office,11,Low,11
Thursday,Clouds,306.73,0.02,No,mall,19,Medium,18
Tuesday,Clouds,303.71,0.14,No,market,10,Low,10
Wednesday,Haze,295.61,0.0,No,office,9,Medium,7
Thursday,Clouds,295.03,0.03,No,residential,18,Low,17
Friday,Clouds,296.9,0.17,No,station,18,Medium,16
Wednesday,Clouds,297.52,0.04,No,residential,18,Low,18
Friday,Clear,309.37,0.0,No,office,10,Medium,8
Tuesday,Clear,312.68,0.0,No,office,8,Medium,6
Wednesday,Clear,306.93,0.0,No,station,18,Medium,16
Monday,Fog,282.06,0.0,No,residential,8,Medium,5
Monday,Clouds,303.62,0.13,No,office,8,Medium,6
Sunday,Rain,300.16,1.23,No,station,18,Medium,15
Saturday,Clouds,302.78,0.17,No,market,17,Medium,14
Thursday,Fog,282.28,0.0,No,office,8,Medium,5
Monday,Haze,286.03,0.0,No,office,8,Medium,5
Wednesday,Clouds,303.09,0.19,Yes,office,9,Medium,6
Wednesday,Fog,290.95,0.0,No,station,8,Medium,5
Thursday,Haze,288.53,0.0,No,market,20,Medium,17
Thursday,Fog,290.77,0.0,No,mall,20,Medium,18
Sunday,Clear,301.57,0.0,No,residential,7,Low,7
Monday,Clouds,295.74,0.18,No,mall,17,Medium,15
Tuesday,Fog,279.73,0.0,No,office,8,Medium,5
Friday,Clear,293.62,0.0,No,market,19,Medium,17
Thursday,Haze,294.02,0.0,No,office,9,Medium,7
Friday,Drizzle,296.78,0.98,No,office,10,Medium,7
Monday,Clouds,305.44,0.08,No,office,9,Medium,7
Monday,Clear,308.45,0.0,No,residential,10,Low,10
Friday,Clouds,297.28,0.07,No,residential,7,Low,7
Monday,Clear,312.22,0.0,No,mall,21,Medium,19
Friday,Haze,299.71,0.0,No,mall,18,Medium,16
Wednesday,Clear,297.91,0.0,No,market,12,Low,12
Saturday,Clouds,301.36,0.07,No,office,11,Low,11
Tuesday,Clouds,304.97,0.14,No,office,9,Medium,7
Thursday,Fog,285.84,0.0,No,office,8,Medium,5
Friday,Clear,297.43,0.0,No,mall,11,Low,11
Friday,Clouds,302.68,0.07,No,mall,19,Medium,18
Tuesday,Clear,307.86,0.0,No,office,8,Medium,6
Tuesday,Fog,292.67,0.0,No,market,12,Low,11
Sunday,Clear,296.59,0.0,Yes,market,12,Medium,11
Tuesday,Clear,311.88,0.0,No,station,18,Medium,15
Monday,Clouds,297.49,0.04,Yes,office,9,Medium,6
Monday,Clear,305.59,0.0,Yes,office,9,Medium,7
Saturday,Thunderstorm,289.01,2.53,No,station,6,Low,5
Friday,Clear,304.77,0.0,No,mall,21,Medium,20
Thursday,Clear,297.22,0.0,No,market,20,Medium,18
Tuesday,Clear,302.01,0.0,No,residential,9,Low,9
Monday,Haze,292.26,0.0,No,office,9,Medium,7
Friday,Clouds,299.26,0.13,No,residential,10,Low,10
Monday,Haze,298.19,0.0,No,office,9,Medium,6
Monday,Drizzle,293.51,0.69,No,residential,19,Medium,17
Saturday,Clear,294.83,0.0,No,market,18,Medium,16
Sunday,Clouds,302.97,0.04,No,residential,17,Low,16
Sunday,Clouds,303.84,0.19,No,office,12,Low,11
Wednesday,Clear,306.87,0.0,No,residential,9,Low,8
Saturday,Clear,298.05,0.0,Yes,residential,20,Low,19
Saturday,Haze,293.68,0.0,No,market,10,Medium,9
Thursday,Haze,297.16,0.0,No,residential,20,Medium,19
Sunday,Clear,312.46,0.0,No,mall,21,Medium,19
Friday,Clouds,291.58,0.2,No,office,8,Medium,5
Sunday,Clouds,302.18,0.1,No,residential,9,Low,8
Sunday,Clear,296.81,0.0,No,office,12,Low,12
Saturday,Clear,308.75,0.0,No,office,11,Low,11
Tuesday,Clouds,301.22,0.17,No,office,10,Medium,7
Wednesday,Clouds,295.47,0.04,No,residential,19,Low,18
Tuesday,Clear,302.46,0.0,No,market,10,Low,9
Wednesday,Clouds,290.63,0.1,No,residential,9,Low,9
Saturday,Clear,295.88,0.0,No,mall,21,Medium,19
