area_type,hour,day_type,holiday,traffic_level,parking_availability
office,6,weekday,No,Low,High
office,7,weekday,No,High,Low
office,8,weekday,No,High,Low
office,9,weekday,No,High,Low
office,10,weekday,No,High,Low
office,12,weekday,No,Medium,Medium
office,14,weekday,No,Medium,Low
office,16,weekday,No,High,Low
office,18,weekday,No,High,Low
office,20,weekday,No,Low,High
office,22,weekday,No,Low,High
office,23,weekday,No,Low,High
office,6,weekday,Yes,Low,Medium
office,7,weekday,Yes,Medium,Low
office,8,weekday,Yes,Medium,Low
office,9,weekday,Yes,Medium,Low
office,10,weekday,Yes,Medium,Low
office,12,weekday,Yes,Low,Medium
office,14,weekday,Yes,Low,Medium
office,16,weekday,Yes,Medium,Low
office,18,weekday,Yes,Medium,Low
office,20,weekday,Yes,Low,Medium
office,22,weekday,Yes,Low,Medium
office,23,weekday,Yes,Low,Medium
office,6,weekend,No,Low,Medium
office,7,weekend,No,Low,Medium
office,8,weekend,No,Low,Medium
office,9,weekend,No,Low,Medium
office,10,weekend,No,Low,Medium
office,12,weekend,No,Medium,Low
office,14,weekend,No,Medium,Low
office,16,weekend,No,Medium,Low
office,18,weekend,No,Low,Medium
office,20,weekend,No,Low,Medium
office,22,weekend,No,Low,Medium
office,23,weekend,No,Low,Medium
office,6,weekend,Yes,Low,Medium
office,7,weekend,Yes,Low,Medium
office,8,weekend,Yes,Low,Medium
office,9,weekend,Yes,Low,Medium
office,10,weekend,Yes,Low,Medium
office,12,weekend,Yes,Low,Medium
office,14,weekend,Yes,Low,Medium
office,16,weekend,Yes,Low,Medium
office,18,weekend,Yes,Low,Medium
office,20,weekend,Yes,Low,Medium
office,22,weekend,Yes,Low,Medium
office,23,weekend,Yes,Low,Medium
mall,6,weekday,No,Low,High
mall,7,weekday,No,Low,High
mall,8,weekday,No,Low,High
mall,9,weekday,No,Low,High
mall,10,weekday,No,Low,High
mall,12,weekday,No,Medium,Medium
mall,14,weekday,No,Medium,Medium
mall,16,weekday,No,Medium,Medium
mall,18,weekday,No,High,Low
mall,20,weekday,No,High,Low
mall,22,weekday,No,Low,High
mall,23,weekday,No,Low,High
mall,6,weekday,Yes,Low,High
mall,7,weekday,Yes,Low,High
mall,8,weekday,Yes,Low,High
mall,9,weekday,Yes,Low,High
mall,10,weekday,Yes,Medium,Medium
mall,12,weekday,Yes,High,Low
mall,14,weekday,Yes,High,Low
mall,16,weekday,Yes,High,Low
mall,18,weekday,Yes,High,Low
mall,20,weekday,Yes,High,Low
mall,22,weekday,Yes,Low,High
mall,23,weekday,Yes,Low,High
mall,6,weekend,No,Low,High
mall,7,weekend,No,Low,High
mall,8,weekend,No,Low,High
mall,9,weekend,No,Low,High
mall,10,weekend,No,Medium,Medium
mall,12,weekend,No,High,Low
mall,14,weekend,No,High,Low
mall,16,weekend,No,High,Low
mall,18,weekend,No,High,Low
mall,20,weekend,No,High,Low
mall,22,weekend,No,Medium,Medium
mall,23,weekend,No,Low,High
mall,6,weekend,Yes,Low,High
mall,7,weekend,Yes,Low,High
mall,8,weekend,Yes,Low,High
mall,9,weekend,Yes,Low,High
mall,10,weekend,Yes,High,Low
mall,12,weekend,Yes,High,Low
mall,14,weekend,Yes,High,Low
mall,16,weekend,Yes,High,Low
mall,18,weekend,Yes,High,Low
mall,20,weekend,Yes,High,Low
mall,22,weekend,Yes,Medium,Medium
mall,23,weekend,Yes,Low,High
residential,6,weekday,No,Low,High
residential,7,weekday,No,High,Low
residential,8,weekday,No,High,Low
residential,9,weekday,No,High,Low
residential,10,weekday,No,Medium,Medium
residential,12,weekday,No,Medium,Medium
residential,14,weekday,No,Medium,Medium
residential,16,weekday,No,Medium,Medium
residential,18,weekday,No,High,Low
residential,20,weekday,No,High,Low
residential,22,weekday,No,Low,High
residential,23,weekday,No,Low,High
residential,6,weekday,Yes,Low,High
residential,7,weekday,Yes,High,Low
residential,8,weekday,Yes,High,Low
residential,9,weekday,Yes,High,Low
residential,10,weekday,Yes,High,Low
residential,12,weekday,Yes,High,Low
