area_type,hour,day_of_week,holiday,traffic_level,parking_availability
residential,12,Thursday,No,Low,High
mall,0,Saturday,No,Low,High
residential,15,Friday,No,Low,High
market,12,Wednesday,No,Low,Low
market,22,Friday,No,Low,High
mall,3,Wednesday,No,Low,High
market,6,Friday,No,Low,High
residential,23,Sunday,No,Low,High
mall,19,Sunday,No,Medium,Medium
mall,0,Tuesday,No,Low,Medium
office,18,Sunday,No,Low,High
mall,1,Tuesday,No,Low,Medium
residential,19,Saturday,No,Low,Medium
office,3,Friday,No,Low,Medium
mall,11,Friday,No,Medium,High
residential,20,Saturday,No,Medium,High
office,19,Wednesday,No,Medium,Low
mall,10,Friday,No,Low,High
office,23,Thursday,No,Low,High
residential,3,Friday,No,Low,High
residential,3,Thursday,No,Low,High
mall,22,Saturday,Yes,Low,Low
office,20,Saturday,No,Low,High
office,23,Tuesday,No,Low,High
mall,2,Tuesday,No,Low,High
office,21,Monday,No,Medium,Medium
station,13,Saturday,No,Low,High
office,15,Saturday,Yes,Low,High
residential,5,Saturday,No,Low,High
station,11,Monday,No,Low,Medium
mall,19,Friday,No,Medium,High
market,11,Friday,No,Low,Low
office,11,Thursday,No,Medium,Low
station,11,Saturday,No,Low,High
office,11,Thursday,No,Medium,Low
market,4,Sunday,No,Low,Medium
mall,5,Friday,No,Low,Medium
station,18,Friday,No,Medium,Low
market,13,Thursday,No,Low,Medium
residential,23,Wednesday,No,Low,High
residential,11,Tuesday,No,Low,High
mall,13,Monday,No,Medium,High
office,15,Tuesday,Yes,Low,High
market,13,Tuesday,No,Low,Low
office,14,Thursday,No,Low,High
office,20,Sunday,No,Low,High
residential,12,Thursday,No,Low,High
market,2,Monday,Yes,Low,High
mall,7,Saturday,No,Low,Medium
mall,0,Wednesday,No,Low,High
station,15,Monday,No,Low,High
office,13,Tuesday,No,Low,High
market,20,Tuesday,Yes,Medium,Low
mall,2,Monday,No,Low,High
office,2,Thursday,No,Low,High
office,6,Wednesday,No,Low,Medium
residential,15,Wednesday,No,Medium,High
mall,21,Wednesday,No,Medium,Medium
market,1,Sunday,No,Low,High
office,23,Thursday,No,Low,High
residential,8,Monday,No,Low,High
office,6,Wednesday,No,Low,High
office,22,Tuesday,No,Low,High
market,3,Sunday,Yes,Low,High
residential,10,Wednesday,No,Low,High
market,19,Saturday,No,Medium,Low
station,8,Sunday,No,Low,Medium
market,2,Sunday,No,Low,Medium
station,7,Monday,No,Medium,Low
office,14,Tuesday,No,Low,Medium
residential,23,Tuesday,No,Low,High
mall,9,Saturday,No,Medium,Medium
office,2,Thursday,No,Low,High
office,17,Monday,No,Medium,Medium
office,1,Thursday,No,Low,High
market,8,Tuesday,No,Medium,Medium
mall,2,Wednesday,No,Low,High
station,0,Monday,No,Low,High
market,20,Wednesday,No,Medium,Low
mall,21,Wednesday,No,Medium,Low
residential,16,Sunday,No,Medium,Medium
mall,14,Wednesday,No,Low,High
station,21,Saturday,No,Medium,Low
office,1,Thursday,No,Low,High
station,23,Thursday,Yes,Low,High
office,10,Monday,No,Medium,Low
residential,6,Saturday,No,Low,High
residential,1,Friday,No,Low,High
residential,19,Monday,No,Medium,Low
residential,3,Thursday,No,Low,High
market,1,Saturday,No,Low,High
residential,21,Thursday,No,Medium,Low
mall,14,Tuesday,No,Low,High
mall,8,Monday,No,Low,High
residential,6,Tuesday,No,Low,High
office,4,Wednesday,No,Low,High
mall,12,Tuesday,No,Low,High
residential,1,Tuesday,No,Low,High
office,12,Friday,No,Low,High
residential,10,Sunday,No,Medium,Medium
office,23,Monday,No,Low,High
mall,10,Monday,No,Low,High
market,23,Wednesday,Yes,Low,High
mall,20,Saturday,No,Medium,Medium
market,12,Friday,No,Low,Medium
office,14,Monday,No,Low,High
office,4,Tuesday,No,Low,High
market,16,Monday,Yes,High,Low
market,21,Saturday,No,Medium,Low
mall,4,Thursday,No,Low,Medium
mall,14,Sunday,No,Medium,Medium
office,19,Sunday,No,Medium,High
mall,1,Monday,Yes,Low,Medium
