user_id,day_of_week,weather_main,destination,hour,traffic_level,usual_departure_hour
u1,Wednesday,Clear,India Gate,16,Low,18
u1,Thursday,Clouds,Nehru Place Office,8,Medium,8
u1,Friday,Rain,Nehru Place Office,8,Medium,7
u1,Friday,Clear,Nehru Place Office,6,Medium,8
u1,Sunday,Clouds,Nehru Place Office,11,Low,9
u1,Friday,Drizzle,Nehru Place Office,8,High,6
u1,Saturday,Clouds,Nehru Place Office,9,Low,9
u1,Monday,Rain,Connaught Place,8,High,7
u1,Wednesday,Clouds,Connaught Place,8,Medium,9
u1,Thursday,Thunderstorm,Nehru Place Office,6,High,7
u1,Sunday,Clear,Nehru Place Office,10,Low,9
u1,Saturday,Clear,India Gate,19,Low,18
u1,Saturday,Clouds,Connaught Place,8,Low,10
u1,Monday,Rain,Nehru Place Office,8,High,6
u1,Tuesday,Drizzle,Nehru Place Office,10,Medium,7
u1,Thursday,Clear,Nehru Place Office,8,Medium,8
u1,Tuesday,Fog,Nehru Place Office,8,Medium,7
u1,Saturday,Rain,Connaught Place,12,Medium,9
u1,Thursday,Clouds,Nehru Place Office,8,Medium,8
u1,Thursday,Clouds,Connaught Place,9,Medium,9
u1,Friday,Drizzle,Connaught Place,9,Medium,8
u1,Thursday,Clouds,India Gate,18,Low,18
u1,Monday,Clouds,Nehru Place Office,6,Medium,8
u1,Sunday,Clouds,India Gate,16,Low,18
u1,Thursday,Haze,Nehru Place Office,10,Medium,8
u1,Monday,Clouds,Connaught Place,10,Medium,9
u1,Friday,Drizzle,Nehru Place Office,8,Medium,7
u1,Sunday,Haze,Nehru Place Office,8,Medium,9
u1,Monday,Clear,Nehru Place Office,9,Medium,8
u1,Wednesday,Clouds,Connaught Place,9,Medium,9
u1,Tuesday,Clear,Nehru Place Office,10,Medium,8
u1,Thursday,Clouds,Nehru Place Office,8,Medium,8
u1,Thursday,Haze,Nehru Place Office,9,Medium,8
u1,Sunday,Clear,Nehru Place Office,10,Low,9
u1,Saturday,Drizzle,Nehru Place Office,9,Medium,8
u1,Tuesday,Haze,Nehru Place Office,8,Medium,8
u1,Saturday,Thunderstorm,Nehru Place Office,8,Medium,9
u1,Friday,Clear,Nehru Place Office,7,Medium,8
u1,Sunday,Clear,Nehru Place Office,9,Low,9
u1,Tuesday,Rain,Nehru Place Office,8,High,6
u1,Wednesday,Rain,Nehru Place Office,8,High,6
u1,Friday,Clear,Nehru Place Office,6,Medium,8
u1,Monday,Drizzle,Nehru Place Office,7,High,6
u1,Friday,Clear,Nehru Place Office,6,Medium,8
u1,Friday,Clear,Nehru Place Office,9,Medium,8
u1,Monday,Rain,Connaught Place,10,High,7
u1,Friday,Clouds,Nehru Place Office,8,Medium,8
